formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,gaji_rata2,rentang_gaji
cdcc2e1f-8525-44cc-b9bf-d68d1f49f444,Badan Informasi Geospasial,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Informasi Geospasial | Pusat Pengembangan Kompetensi Informasi Geospasial,1,1,5500000,7800000,6650000.0,2300000
5b4731bc-5706-4489-8d4f-47499424194d,Badan Intelijen Negara,CPNS,Umum,Penelaah Teknis Intelijen,Badan Intelijen Negara | Sekretariat Utama | Pusat Pendidikan Dan Pelatihan,16,0,3500000,7500000,5500000.0,4000000
afcd8c04-f615-441b-880c-06f6a9a03e24,Badan Intelijen Negara,CPNS,Umum,Penelaah Teknis Intelijen,Badan Intelijen Negara | Sekretariat Utama | Pusat Pendidikan Dan Pelatihan | Bidang Pendidikan,4,0,3500000,7500000,5500000.0,4000000
e8cc8845-2172-4749-8b9e-8d4455606fff,Badan Intelijen Negara,CPNS,Umum,Penelaah Teknis Intelijen,Badan Intelijen Negara | Sekolah Tinggi Intlijen Negara | Bagian Bidang Akademik | Sub Bagian Administrasi Bidang Akademik,4,0,3500000,7500000,5500000.0,4000000
8a028492914fb63b01914fe7bd9c490e,Badan Kepegawaian Negara,CPNS,Penyandang Disabilitas,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Kepegawaian Negara | Pusat Pengembangan Kepegawaian Aparatur Sipil Negara,1,1,7920850,8734850,8327850.0,814000
86d7eb0e-dfec-4c9f-8118-9f6bb294f7bc,Badan Kepegawaian Negara,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Kepegawaian Negara | Pusat Pengembangan Kepegawaian Aparatur Sipil Negara,1,1,7920850,8734850,8327850.0,814000
8a01869291548667019154aeb5d91f5a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Jawa Tengah,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154b5e65c2775,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Jawa Timur,1,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154bcc9fa2ff8,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kalimantan Barat,3,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154bd474f3089,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Tenggara,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154c29cce3c27,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kalimantan Selatan,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154c52e9b3faf,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Tengah,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154c83fad4516,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kalimantan Tengah,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154d0423a558d,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Selatan,1,1,2785700,9024448,5905074.0,6238748
